Row Labels,Sum of yield Per Role,Sum of year
AL,1013,30075
AR,1109,30075
AZ,901,30075
CA,837,30075
CO,942,30075
FL,1246,30075
GA,820,30075
HI,1470,30075
IA,986,30075
ID,660,30075
IL,925,30075
IN,914,30075
KS,841,30075
KY,782,30075
LA,1436,30075
MD,270,12003
ME,466,30075
MI,1022,30075
MN,1114,30075
MO,801,30075
MS,1312,30075
MT,1160,30075
NC,717,30075
ND,1321,30075
NE,1012,30075
NJ,554,30075
NM,808,30075
NV,497,22033
NY,1037,30075
OH,953,30075
OK,278,12003
OR,666,30075
PA,756,30075
SC,204,6006
SD,1137,30075
TN,845,30075
TX,1058,30075
UT,698,30075
VA,603,30075
VT,1004,30075
WA,732,30075
WI,1191,30075
WV,728,30075
WY,992,30075
Grand Total,38818,1255045
